Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
140050 SAO JOAO DA BALIZA;-;-;-;-;-;-;-;1;-;-;-;1
150010 ABAETETUBA;-;-;1;-;-;-;1;2;-;2;3;9
150020 ACARA;7;-;10;-;4;2;1;5;-;1;1;31
150030 AFUA;31;-;5;6;22;12;10;26;5;28;8;153
150034 AGUA AZUL DO NORTE;4;2;3;-;2;2;3;5;2;-;2;25
150040 ALENQUER;-;1;2;2;3;4;3;4;-;3;1;23
150060 ALTAMIRA;60;1;2;1;7;5;1;6;1;4;16;104
150070 ANAJAS;17;-;31;11;1;2;1;2;1;2;2;70
150080 ANANINDEUA;18;-;2;1;3;4;4;4;2;3;15;56
150085 ANAPU;23;-;8;1;8;3;4;15;1;2;3;68
150090 AUGUSTO CORREA;-;-;1;1;-;-;-;-;-;-;-;2
150095 AURORA DO PARA;1;-;-;-;-;-;3;-;-;-;-;4
150120 BAIAO;-;-;-;2;1;-;1;-;-;-;-;4
150125 BANNACH;1;-;1;2;-;-;2;4;-;1;-;11
150130 BARCARENA;2;-;1;-;1;-;-;1;-;-;-;5
150140 BELEM;102;-;7;5;12;14;15;59;14;24;16;268
150145 BELTERRA;9;-;1;1;3;-;-;-;-;1;-;15
150150 BENEVIDES;1;-;-;-;-;-;-;-;-;-;1;2
150157 BOM JESUS DO TOCANTINS;1;-;2;1;2;1;-;1;-;-;1;9
150170 BRAGANCA;-;-;-;-;-;-;1;-;-;1;-;2
150172 BRASIL NOVO;1;-;1;-;1;-;-;-;-;1;2;6
150175 BREJO GRANDE DO ARAGUAIA;-;-;-;-;-;-;-;1;-;-;-;1
150210 CAMETA;27;2;5;-;13;4;4;19;3;4;6;87
150215 CANAA DOS CARAJAS;104;2;11;5;13;10;22;31;6;18;43;265
150220 CAPANEMA;6;-;-;1;-;-;-;1;-;-;1;9
150230 CAPITAO POCO;-;-;-;-;1;-;-;-;-;1;-;2
150240 CASTANHAL;1;-;1;-;-;1;-;5;-;2;3;13
150260 COLARES;1;-;-;-;-;-;-;1;-;-;-;2
150270 CONCEICAO DO ARAGUAIA;466;-;1;2;4;4;4;5;2;4;58;550
150275 CONCORDIA DO PARA;2;-;2;-;-;-;1;1;-;-;-;6
150276 CUMARU DO NORTE;6;-;1;-;1;3;2;-;-;-;2;15
150277 CURIONOPOLIS;-;-;8;2;4;1;1;2;-;1;5;24
150285 CURUA;-;-;-;-;-;-;-;-;-;1;1;2
150290 CURUCA;5;-;-;-;1;-;-;1;-;-;2;9
150293 DOM ELISEU;5;2;9;-;6;1;4;3;-;5;10;45
150295 ELDORADO DOS CARAJAS;-;1;2;2;2;3;-;3;-;-;12;25
150304 FLORESTA DO ARAGUAIA;52;-;3;6;14;6;19;42;1;3;24;170
150309 GOIANESIA DO PARA;47;-;13;5;17;3;12;9;-;1;29;136
150320 IGARAPE-ACU;15;-;2;-;1;-;-;2;-;-;2;22
150330 IGARAPE-MIRI;5;-;4;3;4;-;1;5;3;4;4;33
150345 IPIXUNA DO PARA;-;2;2;-;3;-;1;8;-;-;1;17
150350 IRITUIA;-;-;-;-;1;-;-;-;-;-;1;2
150360 ITAITUBA;12;1;8;4;5;6;8;12;1;4;16;77
150370 ITUPIRANGA;-;1;2;-;8;1;4;7;1;1;2;27
150380 JACUNDA;2;-;20;11;13;3;6;5;2;2;17;81
150390 JURUTI;-;-;1;-;-;-;1;4;-;-;4;10
150405 MAE DO RIO;-;-;-;-;1;1;1;1;-;-;-;4
150420 MARABA;16;-;3;1;14;3;8;13;2;-;7;67
150430 MARACANA;7;-;1;1;3;3;-;2;-;1;3;21
150442 MARITUBA;23;-;1;1;-;-;-;2;-;-;2;29
150445 MEDICILANDIA;6;-;1;-;-;2;-;2;-;1;2;14
150460 MOCAJUBA;-;-;-;-;1;1;-;2;-;-;-;4
150470 MOJU;-;-;1;-;-;1;-;-;-;1;-;3
150475 MOJUI DOS CAMPOS;38;-;4;1;-;2;-;2;-;-;9;56
150497 NOVA IPIXUNA;1;-;1;-;1;-;-;-;-;-;-;3
150503 NOVO PROGRESSO;3;2;7;6;12;7;13;24;5;11;14;104
150506 NOVO REPARTIMENTO;-;-;2;7;14;6;2;7;-;2;6;46
150510 OBIDOS;3;-;2;2;7;3;4;14;2;3;2;42
150530 ORIXIMINA;2;-;2;-;1;1;-;4;-;2;-;12
150540 OUREM;1;-;-;-;-;-;-;-;-;-;-;1
150543 OURILANDIA DO NORTE;5;-;-;-;-;-;-;-;-;-;-;5
150548 PACAJA;18;-;4;5;7;1;3;6;1;2;8;55
150549 PALESTINA DO PARA;3;-;-;-;-;2;2;-;-;-;1;8
150550 PARAGOMINAS;1;-;2;-;-;1;3;7;2;1;3;20
150553 PARAUAPEBAS;491;4;33;18;78;48;99;254;12;22;168;1227
150555 PAU D'ARCO;20;-;-;1;1;2;2;4;-;2;4;36
150560 PEIXE-BOI;7;-;-;-;-;-;-;-;-;1;2;10
150563 PICARRA;2;-;2;2;6;-;-;-;-;1;2;15
150565 PLACAS;1;-;-;1;1;2;-;1;-;1;-;7
150570 PONTA DE PEDRAS;3;-;-;-;2;-;1;2;-;1;1;10
150590 PORTO DE MOZ;-;-;-;-;-;-;-;1;-;-;-;1
150600 PRAINHA;89;-;9;7;6;2;4;25;1;4;19;166
150610 PRIMAVERA;1;-;-;-;1;-;2;5;-;2;1;12
150611 QUATIPURU;-;-;-;-;1;-;-;-;-;-;-;1
150613 REDENCAO;11;2;10;2;8;3;7;17;1;3;29;93
150616 RIO MARIA;4;1;-;1;4;2;6;2;-;3;2;25
150618 RONDON DO PARA;1;-;3;-;3;1;-;4;1;-;-;13
150619 RUROPOLIS;7;1;7;2;10;3;8;19;1;1;12;71
150620 SALINOPOLIS;1;-;-;-;-;-;-;-;-;-;-;1
150630 SALVATERRA;-;-;-;-;1;-;-;-;-;-;-;1
150635 SANTA BARBARA DO PARA;-;-;-;1;-;-;-;-;-;-;-;1
150650 SANTA IZABEL DO PARA;22;-;2;1;2;1;2;9;2;2;1;44
150655 SANTA LUZIA DO PARA;10;-;9;3;6;5;9;8;-;2;-;52
150658 SANTA MARIA DAS BARREIRAS;2;-;-;1;-;-;-;1;1;-;-;5
150660 SANTA MARIA DO PARA;4;-;1;-;-;-;-;-;-;-;1;6
150670 SANTANA DO ARAGUAIA;49;11;39;16;36;53;32;61;8;12;21;338
150680 SANTAREM;101;1;16;17;30;28;26;50;12;28;35;344
150690 SANTAREM NOVO;-;-;1;-;2;-;-;1;-;-;-;4
150715 SAO DOMINGOS DO ARAGUAIA;7;-;-;-;1;-;-;2;-;-;3;13
150720 SAO DOMINGOS DO CAPIM;-;-;-;1;-;-;-;-;-;-;-;1
150730 SAO FELIX DO XINGU;19;-;2;1;4;4;6;3;-;3;15;57
150745 SAO GERALDO DO ARAGUAIA;7;-;8;3;-;-;4;7;-;3;3;35
150747 SAO JOAO DE PIRABAS;2;-;-;-;1;-;-;2;-;-;1;6
150750 SAO JOAO DO ARAGUAIA;2;4;12;7;-;2;1;43;-;1;3;75
150760 SAO MIGUEL DO GUAMA;4;-;-;-;-;-;-;1;-;-;1;6
150775 SAPUCAIA;5;-;3;-;-;-;1;-;-;-;-;9
150780 SENADOR JOSE PORFIRIO;11;1;5;1;5;1;4;2;-;-;3;33
150790 SOURE;4;-;1;1;1;-;1;1;-;2;2;13
150795 TAILANDIA;16;2;19;6;47;9;16;50;1;-;21;187
150796 TERRA ALTA;1;-;-;-;1;-;-;1;-;-;-;3
150797 TERRA SANTA;-;-;-;-;-;-;-;1;-;-;-;1
150800 TOME-ACU;-;-;-;1;2;2;2;3;-;1;-;11
150803 TRACUATEUA;1;-;-;-;-;-;1;-;-;-;-;2
150805 TRAIRAO;2;-;3;5;4;1;2;3;-;2;4;26
150808 TUCUMA;4;-;-;-;-;-;-;3;-;-;1;8
150810 TUCURUI;-;1;2;-;-;-;-;-;1;-;1;5
150812 ULIANOPOLIS;-;-;1;-;3;2;1;1;-;1;-;9
150815 URUARA;24;4;20;2;34;10;13;32;3;5;21;168
150830 VISEU;2;-;-;-;1;-;-;-;-;-;-;3
150835 VITORIA DO XINGU;20;-;1;-;2;3;3;12;1;5;5;52
150840 XINGUARA;41;4;7;8;17;6;25;16;1;6;20;151
160030 MACAPA;110;-;10;1;9;8;-;12;4;15;33;202
160040 MAZAGAO;1;-;-;-;-;-;1;-;-;-;1;3
160050 OIAPOQUE;22;-;-;-;-;-;-;-;-;-;4;26
160053 PORTO GRANDE;2;-;-;1;2;-;1;-;-;-;-;6
160060 SANTANA;3;-;2;-;5;2;3;4;-;2;1;22
160070 TARTARUGALZINHO;-;-;-;-;-;-;-;-;-;-;1;1
170025 ABREULANDIA;3;-;-;4;29;7;8;11;1;16;5;84
170030 AGUIARNOPOLIS;2;1;10;3;42;6;14;25;1;-;17;121
170035 ALIANCA DO TOCANTINS;1;-;-;-;1;-;1;-;-;-;1;4
170040 ALMAS;-;-;-;-;-;1;-;-;-;-;-;1
170070 ALVORADA;1;1;3;6;11;4;6;23;1;5;4;65
170100 ANANAS;9;-;2;-;4;2;1;3;1;1;6;29
170105 ANGICO;2;-;-;-;-;-;-;1;-;-;1;4
170110 APARECIDA DO RIO NEGRO;27;-;4;1;9;6;7;5;2;4;9;74
170130 ARAGOMINAS;-;-;1;2;1;3;1;9;1;1;4;23
170190 ARAGUACEMA;4;3;6;3;6;11;11;32;3;13;6;98
170200 ARAGUACU;2;-;1;-;2;-;1;3;1;-;1;11
170210 ARAGUAINA;64;9;148;48;153;78;165;518;45;120;183;1531
170220 ARAGUATINS;13;-;3;-;8;2;-;4;1;3;2;36
170230 ARAPOEMA;4;6;5;-;6;-;7;12;-;5;8;53
170240 ARRAIAS;25;-;7;4;7;5;16;81;3;18;12;178
170255 AUGUSTINOPOLIS;12;-;3;1;1;-;-;3;-;-;8;28
170270 AURORA DO TOCANTINS;-;1;4;1;12;7;4;14;-;3;-;46
170290 AXIXA DO TOCANTINS;2;-;-;-;-;-;1;-;-;-;-;3
170300 BABACULANDIA;2;-;1;-;1;1;-;1;-;-;1;7
170305 BANDEIRANTES DO TOCANTINS;-;-;1;-;6;2;3;2;1;2;1;18
170307 BARRA DO OURO;17;-;-;1;-;3;-;2;-;-;1;24
170310 BARROLANDIA;67;1;12;9;22;2;13;12;5;6;28;177
170330 BOM JESUS DO TOCANTINS;-;-;2;1;5;4;3;4;1;2;3;25
170360 BRASILANDIA DO TOCANTINS;2;-;-;-;1;-;-;2;-;-;-;5
170370 BREJINHO DE NAZARE;-;-;2;3;3;3;8;8;1;4;4;36
170380 BURITI DO TOCANTINS;-;1;1;-;1;-;-;1;-;-;-;4
170382 CACHOEIRINHA;1;-;-;2;8;8;5;8;2;1;4;39
170384 CAMPOS LINDOS;5;-;1;1;1;3;1;3;1;-;1;17
170386 CARIRI DO TOCANTINS;-;-;1;2;6;6;4;9;1;1;1;31
170388 CARMOLANDIA;-;-;-;2;4;4;3;3;2;1;7;26
170390 CASEARA;4;-;-;-;-;-;1;2;-;-;-;7
170410 CENTENARIO;-;-;-;-;-;-;1;1;-;-;-;2
170460 CHAPADA DE AREIA;-;1;-;-;2;-;2;2;-;-;-;7
170510 CHAPADA DA NATIVIDADE;1;-;19;6;7;1;8;13;1;6;2;64
170550 COLINAS DO TOCANTINS;132;-;4;2;6;6;5;8;2;5;37;207
170555 COMBINADO;1;-;-;-;-;-;-;2;-;-;1;4
170560 CONCEICAO DO TOCANTINS;2;-;9;-;22;3;6;16;1;3;8;70
170600 COUTO MAGALHAES;1;-;-;-;2;-;2;3;-;1;-;9
170625 CRIXAS DO TOCANTINS;-;-;-;-;-;-;-;1;-;1;1;3
170700 DIANOPOLIS;39;-;3;4;13;9;21;34;-;6;15;144
170710 DIVINOPOLIS DO TOCANTINS;31;-;1;-;9;-;4;13;-;1;4;63
170720 DOIS IRMAOS DO TOCANTINS;-;-;-;-;-;3;4;6;-;3;2;18
170730 DUERE;14;1;3;2;2;2;1;16;-;3;1;45
170755 FATIMA;9;-;1;-;1;-;1;-;1;1;1;15
170765 FIGUEIROPOLIS;4;-;-;-;-;-;-;-;-;-;1;5
170820 FORMOSO DO ARAGUAIA;157;1;1;1;2;1;4;8;-;5;11;191
170825 FORTALEZA DO TABOCAO;-;-;1;1;-;2;-;1;-;-;-;5
170830 GOIANORTE;3;-;1;-;-;-;2;1;1;-;3;11
170900 GOIATINS;1;-;-;3;6;7;9;13;-;2;12;53
170930 GUARAI;12;3;28;2;17;7;10;27;4;13;49;172
170950 GURUPI;97;4;29;6;25;9;17;26;10;16;77;316
170980 IPUEIRAS;-;-;4;1;-;-;-;6;-;3;5;19
171050 ITACAJA;17;-;1;-;1;-;2;1;-;-;2;24
171070 ITAGUATINS;3;-;1;-;1;-;1;3;-;1;-;10
171090 ITAPIRATINS;26;-;-;-;-;-;-;-;-;-;1;27
171110 ITAPORA DO TOCANTINS;32;5;15;2;10;5;11;19;4;8;13;124
171150 JAU DO TOCANTINS;-;-;-;-;2;1;-;2;-;-;-;5
171180 JUARINA;18;-;-;-;-;-;-;1;-;1;2;22
171190 LAGOA DA CONFUSAO;159;-;2;4;15;4;6;18;3;1;13;225
171195 LAGOA DO TOCANTINS;4;-;-;-;2;-;-;2;-;-;-;8
171200 LAJEADO;16;-;-;-;-;-;-;-;-;2;2;20
171240 LIZARDA;1;-;-;-;-;-;-;-;-;1;-;2
171245 LUZINOPOLIS;2;-;-;-;4;1;-;2;-;-;-;9
171250 MARIANOPOLIS DO TOCANTINS;-;-;-;2;1;-;-;-;-;-;2;5
171270 MATEIROS;-;-;-;-;-;-;1;4;-;-;1;6
171280 MAURILANDIA DO TOCANTINS;1;1;2;-;2;-;3;2;-;1;1;13
171320 MIRACEMA DO TOCANTINS;11;1;28;31;57;14;12;65;4;16;84;323
171330 MIRANORTE;39;1;13;9;35;17;21;50;4;12;25;226
171360 MONTE DO CARMO;-;-;1;1;3;-;5;6;-;3;-;19
171370 MONTE SANTO DO TOCANTINS;-;-;-;-;1;-;-;-;-;-;-;1
171380 PALMEIRAS DO TOCANTINS;4;-;-;-;-;-;-;-;-;-;2;6
171420 NATIVIDADE;1;1;4;5;13;7;4;19;-;7;12;73
171430 NAZARE;-;-;4;1;1;1;-;9;-;-;1;17
171488 NOVA OLINDA;2;-;2;-;3;3;3;4;2;5;2;26
171500 NOVA ROSALANDIA;7;-;-;-;1;-;-;1;-;-;-;9
171515 NOVO ALEGRE;1;-;2;-;5;3;6;7;2;4;2;32
171525 NOVO JARDIM;46;-;2;1;1;-;2;3;-;-;2;57
171550 OLIVEIRA DE FATIMA;29;-;1;-;3;-;1;1;-;2;10;47
171570 PALMEIRANTE;2;-;3;-;-;1;-;2;-;1;4;13
171575 PALMEIROPOLIS;-;-;2;-;1;1;3;1;-;-;4;12
171610 PARAISO DO TOCANTINS;120;2;49;42;51;56;57;282;27;23;208;917
171620 PARANA;1;-;-;-;-;-;-;-;-;-;-;1
171630 PAU D'ARCO;2;-;-;-;-;-;-;-;-;-;1;3
171650 PEDRO AFONSO;66;1;7;3;10;7;13;17;5;8;49;186
171660 PEIXE;7;-;4;-;12;4;7;13;1;3;-;51
171665 PEQUIZEIRO;5;-;-;-;-;-;-;-;-;-;-;5
171670 COLMEIA;50;-;-;-;1;-;-;-;-;-;8;59
171700 PINDORAMA DO TOCANTINS;-;-;-;-;1;1;1;1;-;2;-;6
171720 PIRAQUE;-;-;3;-;3;-;4;12;1;3;2;28
171750 PIUM;1;-;-;-;12;9;5;6;1;4;5;43
171780 PONTE ALTA DO BOM JESUS;4;-;-;-;-;2;-;4;-;2;-;12
171790 PONTE ALTA DO TOCANTINS;-;1;11;10;13;9;18;45;5;10;7;129
171800 PORTO ALEGRE DO TOCANTINS;-;-;1;4;7;-;5;-;1;-;1;19
171820 PORTO NACIONAL;227;1;23;6;39;10;30;70;14;27;94;541
171830 PRAIA NORTE;2;-;-;-;-;-;-;-;-;-;-;2
171840 PRESIDENTE KENNEDY;2;-;3;-;2;1;2;1;-;2;3;16
171845 PUGMIL;21;-;8;4;5;4;6;26;1;4;5;84
171850 RECURSOLANDIA;3;-;2;1;1;-;1;-;-;1;-;9
171855 RIACHINHO;-;-;-;2;1;-;-;2;-;1;3;9
171865 RIO DA CONCEICAO;1;-;-;2;-;-;-;5;-;3;4;15
171870 RIO DOS BOIS;19;2;13;3;19;4;10;26;-;3;10;109
171875 RIO SONO;7;2;6;-;8;4;4;6;-;4;7;48
171880 SAMPAIO;2;-;1;1;-;-;1;1;-;-;1;7
171884 SANDOLANDIA;1;-;-;-;-;-;-;-;-;-;-;1
171886 SANTA FE DO ARAGUAIA;-;1;9;4;5;4;8;18;1;4;2;56
171888 SANTA MARIA DO TOCANTINS;23;-;-;-;-;-;-;-;-;1;6;30
171889 SANTA RITA DO TOCANTINS;11;-;2;1;-;3;6;4;2;2;2;33
171890 SANTA ROSA DO TOCANTINS;39;-;-;-;-;1;1;6;-;2;2;51
171900 SANTA TEREZA DO TOCANTINS;3;-;-;-;1;3;1;3;-;1;-;12
172000 SANTA TEREZINHA DO TOCANTINS;-;-;1;-;1;-;-;2;-;1;-;5
172010 SAO BENTO DO TOCANTINS;16;-;1;2;2;-;2;2;-;2;5;32
172015 SAO FELIX DO TOCANTINS;-;-;7;1;2;2;3;13;2;3;-;33
172020 SAO MIGUEL DO TOCANTINS;1;-;-;1;3;2;-;4;-;-;4;15
172025 SAO SALVADOR DO TOCANTINS;-;-;1;-;-;-;-;-;-;-;-;1
172049 SAO VALERIO;2;-;4;1;1;-;3;9;-;-;3;23
172065 SILVANOPOLIS;88;-;8;2;12;3;7;13;-;9;11;153
172080 SITIO NOVO DO TOCANTINS;1;-;-;-;1;-;-;-;-;-;1;3
172085 SUCUPIRA;16;3;1;2;8;1;4;7;2;-;6;50
172090 TAGUATINGA;7;1;6;1;3;-;4;-;2;4;4;32
172093 TAIPAS DO TOCANTINS;15;-;6;1;2;3;3;5;-;2;3;40
172097 TALISMA;-;1;8;4;9;1;8;8;2;4;9;54
172100 PALMAS;1296;69;550;209;1085;800;1124;3588;662;1145;1661;12189
172110 TOCANTINIA;73;-;-;-;-;-;-;-;-;-;7;80
172120 TOCANTINOPOLIS;53;1;26;7;51;11;23;41;9;18;46;286
172125 TUPIRAMA;3;-;-;-;-;1;4;2;-;2;-;12
172130 TUPIRATINS;38;-;-;-;-;-;-;1;-;-;-;39
172208 WANDERLANDIA;3;-;-;-;-;-;-;-;-;-;1;4
172210 XAMBIOA;1;-;2;1;7;3;2;6;1;2;2;27
210005 ACAILANDIA;6;1;6;2;7;3;2;6;1;2;7;43
210015 AGUA DOCE DO MARANHAO;2;-;-;-;-;-;1;-;-;-;1;4
210030 ALDEIAS ALTAS;-;-;4;-;22;3;2;10;-;1;9;51
210047 ALTO ALEGRE DO PINDARE;5;-;2;-;1;1;-;5;-;-;1;15
210050 ALTO PARNAIBA;26;3;13;5;16;8;12;32;1;3;23;142
