Município;Médico Anestesiologista;Médico Cirurgião Geral;Médico Clínico;Médico Generalista Alopata;Médico Ginecologista Obstetra;Médico da estratégia de Saúde da Família;Médico de família e comunidade;Médico Pediatra;Médico psiquiatra;Médico em radiologia e diagnóstico por imagem;Médico sanitarista;Médico acupunturista;Médico alergista e imunologista;Médico anatomopatologista;Médico angiologista;Médico Cardiologista Intervencionista;Médico cancerologista cirúrgico;Médico cancerologista pediátrico;Médico cardiologista;Médico cirurgião cardiovascular;Médico cirurgião de cabeça e pescoço;Médico cirurgião do aparelho digestivo;Médico cirurgião pediátrico;Médico cirurgião plástico;Médico cirurgião torácico;Médico citopatologista;Médico coloproctologista;Médico dermatologista;Médico do trabalho;Médico em cirurgia vascular;Médico em endoscopia;Médico em medicina de tráfego;Médico em medicina intensiva;Médico em medicina nuclear;Médico em medicina preventiva e social;Médico endocrinologista e metabologista;Médico fisiatra;Médico gastroenterologista;Médico geneticista;Médico geriatra;Médico hematologista;Médico hiperbarista;Médico homeopata;Médico infectologista;Médico legista;Médico mastologista;Médico nefrologista;Médico neurocirurgião;Médico neurofisiologista clínico;Médico neurologista;Médico nutrologista;Médico oftalmologista;Médico oncologista clínico;Médico ortopedista e traumatologista;Médico otorrinolaringologista;Médico patologista;Médico patologista clínico / medicina laboratorial;Médico pneumologista;Médico radioterapeuta;Médico residente;Médico reumatologista;Médico urologista;Total
350390 ARUJA;2;3;100;-;29;6;-;54;4;9;-;-;3;1;1;-;-;-;8;-;-;1;-;-;-;-;-;6;1;-;-;-;-;-;-;3;-;1;-;-;-;-;-;1;-;-;1;-;-;5;2;5;1;13;2;-;-;-;-;-;-;5;267
350395 ASPASIA;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
350400 ASSIS;6;4;201;-;13;5;-;34;14;22;-;2;2;2;3;3;-;-;24;-;-;-;-;4;-;-;-;10;-;1;-;-;-;-;-;2;1;4;-;-;-;-;-;8;-;-;3;2;-;12;1;17;6;6;1;-;1;1;-;3;4;-;422
350410 ATIBAIA;37;31;260;1;47;11;-;101;14;38;-;3;4;1;1;4;-;-;35;-;1;1;2;5;1;-;-;23;8;5;4;-;6;1;-;6;-;4;-;1;2;-;-;7;-;-;7;2;1;19;3;48;3;71;7;-;-;3;-;-;2;4;835
350420 AURIFLAMA;-;1;12;-;-;2;-;2;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;24
350430 AVAI;-;-;2;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
350440 AVANHANDAVA;-;-;5;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
350450 AVARE;7;2;117;-;6;2;-;15;6;10;-;1;-;1;4;-;-;-;16;-;1;-;-;1;-;-;-;9;3;2;1;-;1;-;-;4;-;2;-;-;-;-;-;3;-;-;4;2;-;13;1;14;8;11;4;-;-;1;-;-;-;1;273
350460 BADY BASSITT;-;-;71;-;10;9;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;99
350470 BALBINOS;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350480 BALSAMO;-;-;13;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
350490 BANANAL;-;-;7;-;2;5;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;25
350500 BARAO DE ANTONINA;-;-;1;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
350510 BARBOSA;-;-;4;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
350520 BARIRI;-;1;38;-;1;2;-;6;3;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;61
350530 BARRA BONITA;3;-;41;-;1;1;-;7;3;6;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;3;-;-;1;-;1;-;-;-;-;-;82
350535 BARRA DO CHAPEU;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
350540 BARRA DO TURVO;-;-;7;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
350550 BARRETOS;60;25;397;-;22;10;-;74;21;85;-;2;1;21;-;-;3;6;32;1;1;2;-;4;-;-;-;11;2;3;3;-;9;2;-;3;3;4;-;1;6;-;1;10;1;2;12;1;-;25;3;24;88;9;4;-;-;6;14;20;1;5;1040
350560 BARRINHA;-;-;110;1;2;5;-;8;-;2;-;-;-;-;-;-;-;-;5;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;3;-;-;1;-;-;-;-;-;142
350570 BARUERI;29;29;473;12;156;-;1;306;28;86;1;5;7;5;5;4;-;1;89;-;2;1;2;8;3;-;1;39;8;24;7;-;2;-;-;17;3;8;-;1;2;-;-;12;-;1;13;25;-;31;6;61;6;168;29;-;-;7;-;1;4;11;1740
350580 BASTOS;1;-;66;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;-;1;-;-;-;-;-;-;-;-;81
350590 BATATAIS;-;2;36;1;11;7;1;16;6;7;-;-;-;-;1;-;-;-;13;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;-;-;2;-;-;5;-;10;1;11;5;-;-;-;1;-;1;3;147
350600 BAURU;98;16;315;-;71;23;1;126;31;44;-;6;7;7;16;-;-;-;60;4;2;12;2;11;-;1;1;29;16;5;-;-;4;7;1;9;3;11;-;5;3;-;4;13;7;1;26;1;-;40;1;42;19;31;38;1;6;3;1;47;11;7;1246
350610 BEBEDOURO;7;6;96;-;7;9;-;32;9;10;-;2;-;2;2;-;-;-;9;-;1;-;-;3;-;-;-;8;5;-;-;3;3;-;-;5;-;4;-;1;1;-;1;3;-;-;1;4;-;6;1;7;3;6;3;-;-;2;-;-;2;3;267
350620 BENTO DE ABREU;-;-;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350630 BERNARDINO DE CAMPOS;-;-;15;-;-;1;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;23
350635 BERTIOGA;3;4;27;1;12;-;-;16;1;3;-;1;1;1;-;-;-;-;3;-;-;-;-;2;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;1;-;-;2;-;3;-;3;-;-;-;-;-;-;1;-;94
350640 BILAC;-;-;7;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
350650 BIRIGUI;7;3;171;-;6;8;-;7;3;6;-;1;-;1;3;-;-;-;8;-;-;-;-;3;-;-;-;7;2;1;-;-;-;-;-;4;-;2;-;-;-;-;-;1;-;-;-;-;-;5;-;8;-;3;2;-;1;1;-;3;1;3;271
350660 BIRITIBA-MIRIM;-;-;42;-;4;2;1;8;1;6;-;-;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;1;78
350670 BOA ESPERANCA DO SUL;-;-;4;-;-;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
350680 BOCAINA;-;-;6;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
350690 BOFETE;-;-;7;-;2;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;16
350700 BOITUVA;1;-;32;-;14;1;-;23;4;11;-;-;-;-;1;-;-;-;13;-;-;-;-;-;-;-;-;3;1;1;1;-;-;-;-;3;-;-;-;-;-;-;-;2;-;-;1;-;-;5;-;12;-;10;3;-;-;-;-;-;1;-;143
350710 BOM JESUS DOS PERDOES;-;-;15;-;2;-;-;4;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;29
350715 BOM SUCESSO DE ITARARE;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
350720 BORA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
350730 BORACEIA;-;-;4;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
350740 BORBOREMA;-;1;15;-;4;-;-;2;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;28
350745 BOREBI;-;-;8;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
350750 BOTUCATU;30;9;132;167;37;27;-;103;29;24;7;2;5;12;6;2;-;3;23;2;2;8;3;1;-;-;-;31;7;-;-;1;4;2;1;12;-;16;1;3;5;-;4;18;-;-;18;2;-;31;3;24;15;18;11;8;-;9;-;494;4;6;1382
350760 BRAGANCA PAULISTA;10;15;259;11;45;18;-;69;13;45;-;4;4;2;5;-;-;-;32;4;2;1;3;4;-;-;-;10;6;3;1;-;2;4;1;6;-;7;-;3;-;-;3;8;-;-;8;4;-;17;2;23;4;10;8;-;-;2;2;101;2;6;789
350770 BRAUNA;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350775 BREJO ALEGRE;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350780 BRODOWSKI;-;-;24;-;1;4;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;-;-;-;-;-;38
350790 BROTAS;1;1;19;-;2;2;-;4;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;37
350800 BURI;-;-;15;-;-;1;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
